,school,conference,position,height
3715,University of Denver,The Summit League,G,5-9
3716,University of Denver,The Summit League,G,5-9
3717,University of Denver,The Summit League,F,6-2
3718,University of Denver,The Summit League,F,6-2
3719,University of Denver,The Summit League,G,5-10
3720,University of Denver,The Summit League,F,6-0
3721,University of Delaware,Colonial Athletic Association,F,6-0
3722,University of Delaware,Colonial Athletic Association,G,5-7
3723,University of Delaware,Colonial Athletic Association,F,6-1
3724,University of Delaware,Colonial Athletic Association,F,6-1
3725,University of Delaware,Colonial Athletic Association,F,6-0
3726,University of Delaware,Colonial Athletic Association,G,5-7
3727,University of Delaware,Colonial Athletic Association,F,6-1
3728,University of Delaware,Colonial Athletic Association,C,6-4
3729,University of Delaware,Colonial Athletic Association,F,6-1
3730,University of Delaware,Colonial Athletic Association,G,5-10
3731,University of Delaware,Colonial Athletic Association,F,6-2
3732,University of Delaware,Colonial Athletic Association,G,5-9
3733,University of Delaware,Colonial Athletic Association,G,5-9
3734,University of Delaware,Colonial Athletic Association,G,5-8
3735,Delaware State University,Mid-Eastern Athletic Conf.,G,5-5
3736,Delaware State University,Mid-Eastern Athletic Conf.,G,5-7
3737,Delaware State University,Mid-Eastern Athletic Conf.,G,5-7
3738,Delaware State University,Mid-Eastern Athletic Conf.,F,6-0
3739,Delaware State University,Mid-Eastern Athletic Conf.,F,6-1
3740,Delaware State University,Mid-Eastern Athletic Conf.,C,6-1
3741,Delaware State University,Mid-Eastern Athletic Conf.,F,6-2
3742,Delaware State University,Mid-Eastern Athletic Conf.,G,5-9
3743,Delaware State University,Mid-Eastern Athletic Conf.,G,5-4
3744,Delaware State University,Mid-Eastern Athletic Conf.,F,6-1
3745,Delaware State University,Mid-Eastern Athletic Conf.,G,5-9
3746,Delaware State University,Mid-Eastern Athletic Conf.,G,5-9
3747,Delaware State University,Mid-Eastern Athletic Conf.,G,5-7
3748,University of Dayton,Atlantic 10 Conference,G,6-0
3749,University of Dayton,Atlantic 10 Conference,F,6-3
3750,University of Dayton,Atlantic 10 Conference,G,5-8
3751,University of Dayton,Atlantic 10 Conference,C,6-4
3752,University of Dayton,Atlantic 10 Conference,F,6-3
3753,University of Dayton,Atlantic 10 Conference,G,5-9
3754,University of Dayton,Atlantic 10 Conference,G,5-9
3755,University of Dayton,Atlantic 10 Conference,C,6-5
3756,University of Dayton,Atlantic 10 Conference,G,5-9
3757,University of Dayton,Atlantic 10 Conference,G,5-8
3758,University of Dayton,Atlantic 10 Conference,G,5-10
3759,University of Dayton,Atlantic 10 Conference,G,6-0
3760,University of Dayton,Atlantic 10 Conference,F,6-4
3761,Davidson College,Southern Conference,F,6-0
3762,Davidson College,Southern Conference,F,6-1
3763,Davidson College,Southern Conference,G,5-7
3764,Davidson College,Southern Conference,C,6-6
3765,Davidson College,Southern Conference,G,5-9
3766,Davidson College,Southern Conference,F,6-1
3767,Davidson College,Southern Conference,G,5-10
3768,Davidson College,Southern Conference,G,6-0
3769,Davidson College,Southern Conference,F,6-3
3770,Davidson College,Southern Conference,G,5-9
3771,Davidson College,Southern Conference,G,5-9
3772,Davidson College,Southern Conference,G,5-9
3773,Dartmouth College,The Ivy League,F,6-1
3774,Dartmouth College,The Ivy League,F,5-11
3775,Dartmouth College,The Ivy League,C,6-2
3776,Dartmouth College,The Ivy League,C,6-0
3777,Dartmouth College,The Ivy League,G,6-0
3778,Dartmouth College,The Ivy League,G,5-6
3779,Dartmouth College,The Ivy League,F,6-0
3780,Dartmouth College,The Ivy League,F,6-1
3781,Dartmouth College,The Ivy League,G,5-10
3782,Dartmouth College,The Ivy League,C,6-2
3783,Dartmouth College,The Ivy League,F,6-1
3784,Dartmouth College,The Ivy League,G,6-2
3785,Dartmouth College,The Ivy League,G,5-9
3786,University of Evansville,Missouri Valley Conference,G,5-11
3787,University of Evansville,Missouri Valley Conference,G,5-6
3788,University of Evansville,Missouri Valley Conference,G,5-8
3789,University of Evansville,Missouri Valley Conference,G,5-8
3790,University of Evansville,Missouri Valley Conference,F,6-1
3791,University of Evansville,Missouri Valley Conference,G,5-8
3792,University of Evansville,Missouri Valley Conference,F,6-1
3793,University of Evansville,Missouri Valley Conference,F,6-0
3794,University of Evansville,Missouri Valley Conference,,-
3795,University of Evansville,Missouri Valley Conference,F,5-11
3796,University of Evansville,Missouri Valley Conference,G,5-9
3797,University of Evansville,Missouri Valley Conference,F,6-1
3798,University of Evansville,Missouri Valley Conference,G,5-6
3799,Elon University,Southern Conference,G,5-5
3800,Elon University,Southern Conference,G,5-9
3801,Elon University,Southern Conference,G,5-9
3802,Elon University,Southern Conference,F,6-5
3803,Elon University,Southern Conference,C,6-3
3804,Elon University,Southern Conference,G,6-1
3805,Elon University,Southern Conference,F,6-4
3806,Elon University,Southern Conference,G,6-0
3807,Elon University,Southern Conference,G,5-9
3808,Elon University,Southern Conference,C,6-3
3809,Elon University,Southern Conference,G,5-7
3810,Elon University,Southern Conference,G,5-6
3811,Elon University,Southern Conference,F,6-0
3812,Elon University,Southern Conference,G,5-9
3813,Elon University,Southern Conference,G,5-11
3814,Elon University,Southern Conference,G,5-10
3815,Eastern Michigan University,Mid-American Conference,F,6-1
3816,Eastern Michigan University,Mid-American Conference,G,5-8
3817,Eastern Michigan University,Mid-American Conference,F,6-1
3818,Eastern Michigan University,Mid-American Conference,G,5-8
3819,Eastern Michigan University,Mid-American Conference,F,5-11
3820,Eastern Michigan University,Mid-American Conference,F,6-0
3821,Eastern Michigan University,Mid-American Conference,C,6-4
3822,Eastern Michigan University,Mid-American Conference,G,5-10
3823,Eastern Michigan University,Mid-American Conference,G,6-1
3824,Eastern Michigan University,Mid-American Conference,F,6-0
3825,Eastern Michigan University,Mid-American Conference,G,5-8
3826,Eastern Michigan University,Mid-American Conference,G,5-7
3827,Eastern Michigan University,Mid-American Conference,G,5-2
3828,Eastern Michigan University,Mid-American Conference,F,5-9
3829,Eastern Michigan University,Mid-American Conference,G,5-9
3830,Eastern Michigan University,Mid-American Conference,F,5-11
3831,Eastern Illinois University,Ohio Valley Conference,F,6-0
3832,Eastern Illinois University,Ohio Valley Conference,G,5-7
3833,Eastern Illinois University,Ohio Valley Conference,G,5-7
3834,Eastern Illinois University,Ohio Valley Conference,G,5-6
3835,Eastern Illinois University,Ohio Valley Conference,G,5-8
3836,Eastern Illinois University,Ohio Valley Conference,G,5-4
3837,Eastern Illinois University,Ohio Valley Conference,G,5-8
3838,Eastern Illinois University,Ohio Valley Conference,F,6-1
3839,Eastern Illinois University,Ohio Valley Conference,F,6-2
3840,Eastern Illinois University,Ohio Valley Conference,G,5-9
3841,Eastern Illinois University,Ohio Valley Conference,F,5-9
3842,Eastern Illinois University,Ohio Valley Conference,F,6-3
3843,Eastern Illinois University,Ohio Valley Conference,F,5-11
3844,Eastern Illinois University,Ohio Valley Conference,F,6-3
3845,Eastern Kentucky University,Ohio Valley Conference,F,6-2
3846,Eastern Kentucky University,Ohio Valley Conference,G,6-0
3847,Eastern Kentucky University,Ohio Valley Conference,G,5-8
3848,Eastern Kentucky University,Ohio Valley Conference,F,6-4
3849,Eastern Kentucky University,Ohio Valley Conference,F,6-1
3850,Eastern Kentucky University,Ohio Valley Conference,G,6-0
3851,Eastern Kentucky University,Ohio Valley Conference,G,5-10
3852,Eastern Kentucky University,Ohio Valley Conference,F,6-1
3853,Eastern Kentucky University,Ohio Valley Conference,G,5-5
3854,Eastern Kentucky University,Ohio Valley Conference,G,5-10
3855,Eastern Kentucky University,Ohio Valley Conference,G,5-9
3856,Eastern Kentucky University,Ohio Valley Conference,F,5-11
3857,Eastern Kentucky University,Ohio Valley Conference,G,5-8
3858,Eastern Washington University,Big Sky Conference,C,6-2
3859,Eastern Washington University,Big Sky Conference,G,5-8
3860,Eastern Washington University,Big Sky Conference,F,6-0
3861,Eastern Washington University,Big Sky Conference,G,6-0
3862,Eastern Washington University,Big Sky Conference,G,5-10
3863,Eastern Washington University,Big Sky Conference,G,5-5
3864,Eastern Washington University,Big Sky Conference,G,5-9
3865,Eastern Washington University,Big Sky Conference,G,5-6
3866,Eastern Washington University,Big Sky Conference,F,5-11
3867,Eastern Washington University,Big Sky Conference,G,5-9
3868,Eastern Washington University,Big Sky Conference,G,5-7
3869,Eastern Washington University,Big Sky Conference,G,5-10
3870,Eastern Washington University,Big Sky Conference,F,5-11
3871,Eastern Washington University,Big Sky Conference,F,6-1
3872,East Tennessee State University,Atlantic Sun Conference,G,5-8
3873,East Tennessee State University,Atlantic Sun Conference,F,5-10
3874,East Tennessee State University,Atlantic Sun Conference,G,5-8
3875,East Tennessee State University,Atlantic Sun Conference,G,5-7
3876,East Tennessee State University,Atlantic Sun Conference,C,6-3
3877,East Tennessee State University,Atlantic Sun Conference,G,5-8
3878,East Tennessee State University,Atlantic Sun Conference,F,6-2
3879,East Tennessee State University,Atlantic Sun Conference,G,5-4
3880,East Tennessee State University,Atlantic Sun Conference,F,6-2
3881,East Tennessee State University,Atlantic Sun Conference,G,5-6
3882,East Tennessee State University,Atlantic Sun Conference,F,5-11
3883,East Tennessee State University,Atlantic Sun Conference,G,5-10
3884,East Tennessee State University,Atlantic Sun Conference,G,5-6
3885,East Tennessee State University,Atlantic Sun Conference,G,5-9
3886,East Carolina University,Conference USA,F,6-0
3887,East Carolina University,Conference USA,G,5-6
3888,East Carolina University,Conference USA,G,5-7
3889,East Carolina University,Conference USA,F,5-11
3890,East Carolina University,Conference USA,G,5-7
3891,East Carolina University,Conference USA,F,6-0
3892,East Carolina University,Conference USA,F,6-1
3893,East Carolina University,Conference USA,G,6-2
3894,East Carolina University,Conference USA,G,5-10
3895,East Carolina University,Conference USA,F,6-4
3896,East Carolina University,Conference USA,F,6-3
3897,East Carolina University,Conference USA,F,6-1
3898,East Carolina University,Conference USA,G,6-1
3899,Brigham Young University,West Coast Conference,F,6-2
3900,Brigham Young University,West Coast Conference,G,5-9
3901,Brigham Young University,West Coast Conference,G,5-10
3902,Brigham Young University,West Coast Conference,G,5-11
3903,Brigham Young University,West Coast Conference,G,5-10
3904,Brigham Young University,West Coast Conference,F,6-3
3905,Brigham Young University,West Coast Conference,F,5-11
3906,Brigham Young University,West Coast Conference,C,6-5
3907,Brigham Young University,West Coast Conference,G,5-5
3908,Brigham Young University,West Coast Conference,G,5-8
3909,Brigham Young University,West Coast Conference,F,6-2
3910,Brigham Young University,West Coast Conference,G,5-5
3911,Brigham Young University,West Coast Conference,F,6-2
3912,Brigham Young University,West Coast Conference,G,5-9
3913,Brigham Young University,West Coast Conference,G,5-7
3914,Brigham Young University,West Coast Conference,F,6-1
3915,Brigham Young University,West Coast Conference,G,5-5
3916,Butler University,Big East Conference,G,5-7
3917,Butler University,Big East Conference,G,5-9
3918,Butler University,Big East Conference,G,5-8
3919,Butler University,Big East Conference,C,6-2
3920,Butler University,Big East Conference,G,5-7
3921,Butler University,Big East Conference,F,6-2
3922,Butler University,Big East Conference,F,5-10
3923,Butler University,Big East Conference,C,6-4
3924,Butler University,Big East Conference,G,5-8
3925,Butler University,Big East Conference,G,5-8
3926,Butler University,Big East Conference,F,5-11
3927,Butler University,Big East Conference,F,6-1
3928,Bryant University,Northeast Conference,G,5-10
3929,Bryant University,Northeast Conference,G,5-8
3930,Bryant University,Northeast Conference,G,5-8
3931,Bryant University,Northeast Conference,G,5-7
3932,Bryant University,Northeast Conference,G,5-7
3933,Bryant University,Northeast Conference,F,5-11
3934,Bryant University,Northeast Conference,G,5-7
3935,Bryant University,Northeast Conference,F,6-1
3936,Bryant University,Northeast Conference,C,6-2
3937,Bryant University,Northeast Conference,C,6-2
3938,Bryant University,Northeast Conference,G,5-3
3939,Bryant University,Northeast Conference,G,5-11
3940,Bryant University,Northeast Conference,F,6-2
3941,Bryant University,Northeast Conference,F,6-0
3942,Bryant University,Northeast Conference,G,5-8
3943,University at Buffalo,Mid-American Conference,F,6-2
3944,University at Buffalo,Mid-American Conference,G,5-10
3945,University at Buffalo,Mid-American Conference,F,5-11
3946,University at Buffalo,Mid-American Conference,G,5-10
3947,University at Buffalo,Mid-American Conference,F,6-0
3948,University at Buffalo,Mid-American Conference,G,5-7
3949,University at Buffalo,Mid-American Conference,G,5-4
3950,University at Buffalo,Mid-American Conference,F,6-1
3951,University at Buffalo,Mid-American Conference,G,5-8
3952,University at Buffalo,Mid-American Conference,F,6-1
3953,University at Buffalo,Mid-American Conference,G,5-9
3954,University at Buffalo,Mid-American Conference,G,5-9
3955,Bucknell University,Patriot League,G,5-8
3956,Bucknell University,Patriot League,F,6-1
3957,Bucknell University,Patriot League,F,6-1
3958,Bucknell University,Patriot League,G,5-6
3959,Bucknell University,Patriot League,G,5-5
3960,Bucknell University,Patriot League,F,6-3
3961,Bucknell University,Patriot League,G,5-9
3962,Bucknell University,Patriot League,G,6-0
3963,Bucknell University,Patriot League,G,5-7
3964,Bucknell University,Patriot League,G,5-10
3965,Bucknell University,Patriot League,F,5-2
3966,Bucknell University,Patriot League,G,5-11
3967,Bucknell University,Patriot League,F,6-2
3968,Bucknell University,Patriot League,G,5-6
3969,Bucknell University,Patriot League,F,6-3
3970,Bucknell University,Patriot League,G,5-5
3971,Brown University,The Ivy League,G,5-10
3972,Brown University,The Ivy League,F,5-11
3973,Brown University,The Ivy League,G,5-11
3974,Brown University,The Ivy League,G,5-10
3975,Brown University,The Ivy League,F,5-10
3976,Brown University,The Ivy League,F,6-0
3977,Brown University,The Ivy League,G,5-9
3978,Brown University,The Ivy League,F,6-2
3979,Brown University,The Ivy League,G,5-7
3980,Brown University,The Ivy League,G,5-9
3981,Brown University,The Ivy League,G,5-10
3982,Brown University,The Ivy League,G,5-7
3983,Brown University,The Ivy League,G,5-10
3984,Brown University,The Ivy League,F,6-2
3985,Bradley University,Missouri Valley Conference,F,5-10
3986,Bradley University,Missouri Valley Conference,G,5-8
3987,Bradley University,Missouri Valley Conference,G,5-6
3988,Bradley University,Missouri Valley Conference,G,5-8
3989,Bradley University,Missouri Valley Conference,G,5-10
3990,Bradley University,Missouri Valley Conference,G,5-10
3991,Bradley University,Missouri Valley Conference,G,6-0
3992,Bradley University,Missouri Valley Conference,F,6-2
3993,Bradley University,Missouri Valley Conference,F,6-1
3994,Bradley University,Missouri Valley Conference,C,6-3
3995,Bradley University,Missouri Valley Conference,G,5-7
3996,Bradley University,Missouri Valley Conference,G,5-9
3997,Boston University,Patriot League,F,6-2
3998,Boston University,Patriot League,G,5-9
3999,Boston University,Patriot League,F,6-0
4000,Boston University,Patriot League,G,5-7
4001,Boston University,Patriot League,G,5-8
4002,Boston University,Patriot League,F,6-0
4003,Boston University,Patriot League,G,5-11
4004,Boston University,Patriot League,G,5-10
4005,Boston University,Patriot League,F,6-1
4006,Boston University,Patriot League,G,6-1
4007,Boston College,Atlantic Coast Conference,F,6-0
4008,Boston College,Atlantic Coast Conference,G,5-9
4009,Boston College,Atlantic Coast Conference,G,5-9
4010,Boston College,Atlantic Coast Conference,G,6-0
4011,Boston College,Atlantic Coast Conference,F,6-2
4012,Boston College,Atlantic Coast Conference,F,6-1
4013,Boston College,Atlantic Coast Conference,F,5-9
4014,Boston College,Atlantic Coast Conference,G,5-10
4015,Boston College,Atlantic Coast Conference,F,6-2
4016,Boston College,Atlantic Coast Conference,G,5-8
4017,Boston College,Atlantic Coast Conference,G,5-11
4018,Boston College,Atlantic Coast Conference,G,5-8
4019,Boston College,Atlantic Coast Conference,F,6-2
4020,Boston College,Atlantic Coast Conference,G,5-9
4021,Boston College,Atlantic Coast Conference,C,6-4
4022,Bowling Green State University,Mid-American Conference,C,6-1
4023,Bowling Green State University,Mid-American Conference,F,5-11
4024,Bowling Green State University,Mid-American Conference,G,5-11
4025,Bowling Green State University,Mid-American Conference,G,5-10
4026,Bowling Green State University,Mid-American Conference,G,6-0
4027,Bowling Green State University,Mid-American Conference,G,5-10
4028,Bowling Green State University,Mid-American Conference,G,5-3
4029,Bowling Green State University,Mid-American Conference,G,5-9
4030,Bowling Green State University,Mid-American Conference,G,5-8
4031,Bowling Green State University,Mid-American Conference,G,6-0
4032,Bowling Green State University,Mid-American Conference,C,6-2
4033,Bowling Green State University,Mid-American Conference,F,6-1
4034,Boise State University,Mountain West Conference,C,6-3
4035,Boise State University,Mountain West Conference,G,5-5
4036,Boise State University,Mountain West Conference,F,6-1
4037,Boise State University,Mountain West Conference,F,5-11
4038,Boise State University,Mountain West Conference,G,5-7
4039,Boise State University,Mountain West Conference,G,5-5
4040,Boise State University,Mountain West Conference,F,6-1
4041,Boise State University,Mountain West Conference,G,5-7
4042,Boise State University,Mountain West Conference,G,5-9
4043,Boise State University,Mountain West Conference,F,6-1
4044,Boise State University,Mountain West Conference,C,6-4
4045,Boise State University,Mountain West Conference,F,6-1
4046,Boise State University,Mountain West Conference,G,5-5
4047,Boise State University,Mountain West Conference,F,6-1
4048,Boise State University,Mountain West Conference,C,6-3
4049,Boise State University,Mountain West Conference,F,5-11
4050,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-6
4051,Bethune-Cookman University,Mid-Eastern Athletic Conf.,F,6-0
4052,Bethune-Cookman University,Mid-Eastern Athletic Conf.,F,5-11
4053,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-11
4054,Bethune-Cookman University,Mid-Eastern Athletic Conf.,F,6-0
4055,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,6-0
4056,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-11
4057,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-5
4058,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-8
4059,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-3
4060,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-10
4061,Bethune-Cookman University,Mid-Eastern Athletic Conf.,F,6-2
4062,Bethune-Cookman University,Mid-Eastern Athletic Conf.,C,6-4
4063,Bethune-Cookman University,Mid-Eastern Athletic Conf.,G,5-3
4064,Bethune-Cookman University,Mid-Eastern Athletic Conf.,C,6-2
4065,Binghamton University,America East Conference,G,5-7
4066,Binghamton University,America East Conference,G,5-10
4067,Binghamton University,America East Conference,G,5-7
4068,Binghamton University,America East Conference,F,6-1
4069,Binghamton University,America East Conference,G,6-0
4070,Binghamton University,America East Conference,C,6-1
4071,Binghamton University,America East Conference,F,6-0
4072,Binghamton University,America East Conference,G,5-5
4073,Binghamton University,America East Conference,G,5-10
4074,Binghamton University,America East Conference,F,6-0
4075,Binghamton University,America East Conference,G,5-8
4076,Belmont University,Ohio Valley Conference,G,5-9
4077,Belmont University,Ohio Valley Conference,C,6-5
4078,Belmont University,Ohio Valley Conference,G,5-7
4079,Belmont University,Ohio Valley Conference,G,5-8
4080,Belmont University,Ohio Valley Conference,G,5-9
4081,Belmont University,Ohio Valley Conference,G,5-9
4082,Belmont University,Ohio Valley Conference,F,6-1
4083,Belmont University,Ohio Valley Conference,G,6-1
4084,Belmont University,Ohio Valley Conference,C,6-3
4085,Belmont University,Ohio Valley Conference,G,5-5
4086,Belmont University,Ohio Valley Conference,G,5-5
4087,Belmont University,Ohio Valley Conference,G,5-8
4088,Belmont University,Ohio Valley Conference,G,5-9
4089,Belmont University,Ohio Valley Conference,F,6-1
4090,Belmont University,Ohio Valley Conference,F,6-1
4091,Belmont University,Ohio Valley Conference,F,6-4
4092,Baylor University,Big 12 Conference,C,6-4
4093,Baylor University,Big 12 Conference,C,6-3
4094,Baylor University,Big 12 Conference,C,6-2
4095,Baylor University,Big 12 Conference,F,6-2
4096,Baylor University,Big 12 Conference,C,5-11
4097,Baylor University,Big 12 Conference,F,6-0
4098,Baylor University,Big 12 Conference,C,6-5
4099,Baylor University,Big 12 Conference,G,5-8
4100,Baylor University,Big 12 Conference,G,6-1
4101,Baylor University,Big 12 Conference,G,6-0
4102,Baylor University,Big 12 Conference,G,5-11
4103,Baylor University,Big 12 Conference,G,5-9
4104,Cal State Bakersfield,Western Athletic Conference,F,5-10
4105,Cal State Bakersfield,Western Athletic Conference,F,6-0
4106,Cal State Bakersfield,Western Athletic Conference,G,5-5
4107,Cal State Bakersfield,Western Athletic Conference,G,5-10
4108,Cal State Bakersfield,Western Athletic Conference,F,6-2
4109,Cal State Bakersfield,Western Athletic Conference,G,5-8
4110,Cal State Bakersfield,Western Athletic Conference,G,5-2
4111,Cal State Bakersfield,Western Athletic Conference,F,6-3
4112,Cal State Bakersfield,Western Athletic Conference,G,5-6
4113,Cal State Bakersfield,Western Athletic Conference,G,5-9
4114,Cal State Bakersfield,Western Athletic Conference,F,6-0
4115,Cal State Bakersfield,Western Athletic Conference,F,6-2
4116,Ball State University,Mid-American Conference,C,6-5
4117,Ball State University,Mid-American Conference,G,6-2
4118,Ball State University,Mid-American Conference,G,5-9
4119,Ball State University,Mid-American Conference,G,5-10
4120,Ball State University,Mid-American Conference,G,5-10
4121,Ball State University,Mid-American Conference,F,6-3
4122,Ball State University,Mid-American Conference,F,6-1
4123,Ball State University,Mid-American Conference,G,5-7
4124,Ball State University,Mid-American Conference,F,6-2
4125,Ball State University,Mid-American Conference,G,5-5
4126,Ball State University,Mid-American Conference,G,5-7
4127,Fordham University,Atlantic 10 Conference,G,5-10
4128,Fordham University,Atlantic 10 Conference,F,6-2
4129,Fordham University,Atlantic 10 Conference,F,6-2
4130,Fordham University,Atlantic 10 Conference,G,5-7
4131,Fordham University,Atlantic 10 Conference,G,5-8
4132,Fordham University,Atlantic 10 Conference,F,6-1
4133,Fordham University,Atlantic 10 Conference,G,5-8
4134,Fordham University,Atlantic 10 Conference,G,5-10
4135,Fordham University,Atlantic 10 Conference,G,5-7
4136,Fordham University,Atlantic 10 Conference,F,6-0
4137,Fordham University,Atlantic 10 Conference,G,5-8
4138,Fordham University,Atlantic 10 Conference,F,6-0
4139,Fordham University,Atlantic 10 Conference,G,5-7
4140,Fordham University,Atlantic 10 Conference,F,6-0
4141,Fordham University,Atlantic 10 Conference,F,6-1
4142,Florida Atlantic University,Conference USA,G,5-9
4143,Florida Atlantic University,Conference USA,F,6-3
4144,Florida Atlantic University,Conference USA,G,5-6
4145,Florida Atlantic University,Conference USA,F,6-2
4146,Florida Atlantic University,Conference USA,G,5-9
4147,Florida Atlantic University,Conference USA,G,5-10
4148,Florida Atlantic University,Conference USA,G,5-5
4149,Florida Atlantic University,Conference USA,G,5-7
4150,Florida Atlantic University,Conference USA,G,5-6
4151,Florida Atlantic University,Conference USA,F,6-2
4152,Florida Atlantic University,Conference USA,G,5-9
4153,Florida Atlantic University,Conference USA,G,5-8
4154,Florida Atlantic University,Conference USA,F,6-0
4155,University of Florida,Southeastern Conference,G,5-10
4156,University of Florida,Southeastern Conference,G,5-10
4157,University of Florida,Southeastern Conference,G,5-10
4158,University of Florida,Southeastern Conference,F,6-0
4159,University of Florida,Southeastern Conference,F,6-2
4160,University of Florida,Southeastern Conference,C,6-4
4161,University of Florida,Southeastern Conference,G,6-0
4162,University of Florida,Southeastern Conference,F,6-3
4163,University of Florida,Southeastern Conference,G,5-8
4164,University of Florida,Southeastern Conference,G,5-6
4165,University of Florida,Southeastern Conference,G,5-6
4166,University of Florida,Southeastern Conference,F,6-0
4167,University of Florida,Southeastern Conference,G,5-7
4168,Florida A&M University,Mid-Eastern Athletic Conf.,F,6-0
4169,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-7
4170,Florida A&M University,Mid-Eastern Athletic Conf.,G,6-0
4171,Florida A&M University,Mid-Eastern Athletic Conf.,C,6-4
4172,Florida A&M University,Mid-Eastern Athletic Conf.,F,6-3
4173,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-10
4174,Florida A&M University,Mid-Eastern Athletic Conf.,F,5-11
4175,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-9
4176,Florida A&M University,Mid-Eastern Athletic Conf.,C,6-4
4177,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-10
4178,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-9
4179,Florida A&M University,Mid-Eastern Athletic Conf.,G,6-0
4180,Florida A&M University,Mid-Eastern Athletic Conf.,C,6-4
4181,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-8
4182,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-11
4183,Florida A&M University,Mid-Eastern Athletic Conf.,G,5-8
4184,Florida International University,Conference USA,G,5-8
4185,Florida International University,Conference USA,F,6-3
4186,Florida International University,Conference USA,G,5-10
4187,Florida International University,Conference USA,G,5-8
4188,Florida International University,Conference USA,G,5-7
4189,Florida International University,Conference USA,G,6-1
4190,Florida International University,Conference USA,G,5-9
4191,Florida International University,Conference USA,F,6-0
4192,Florida International University,Conference USA,G,6-0
4193,Florida International University,Conference USA,G,5-6
4194,Florida International University,Conference USA,G,5-7
4195,Florida International University,Conference USA,C,6-2
4196,Florida Gulf Coast University,Atlantic Sun Conference,G,5-7
4197,Florida Gulf Coast University,Atlantic Sun Conference,G,5-11
4198,Florida Gulf Coast University,Atlantic Sun Conference,G,5-7
4199,Florida Gulf Coast University,Atlantic Sun Conference,F,6-1
4200,Florida Gulf Coast University,Atlantic Sun Conference,G,5-7
4201,Florida Gulf Coast University,Atlantic Sun Conference,G,5-8
4202,Florida Gulf Coast University,Atlantic Sun Conference,G,5-10
4203,Florida Gulf Coast University,Atlantic Sun Conference,G,5-9
4204,Florida Gulf Coast University,Atlantic Sun Conference,G,5-8
4205,Florida Gulf Coast University,Atlantic Sun Conference,G,5-10
4206,Florida Gulf Coast University,Atlantic Sun Conference,G,6-3
4207,Florida Gulf Coast University,Atlantic Sun Conference,F,5-11
4208,Florida Gulf Coast University,Atlantic Sun Conference,F,5-11
4209,Florida Gulf Coast University,Atlantic Sun Conference,G,5-10
4210,Florida Gulf Coast University,Atlantic Sun Conference,F,5-10
4211,Florida Gulf Coast University,Atlantic Sun Conference,G,5-9
4212,Fairleigh Dickinson University,Northeast Conference,G,5-7
4213,Fairleigh Dickinson University,Northeast Conference,G,5-3
4214,Fairleigh Dickinson University,Northeast Conference,G,5-7
4215,Fairleigh Dickinson University,Northeast Conference,F,6-0
4216,Fairleigh Dickinson University,Northeast Conference,G,5-7
4217,Fairleigh Dickinson University,Northeast Conference,F,6-0
4218,Fairleigh Dickinson University,Northeast Conference,G,5-7
4219,Fairleigh Dickinson University,Northeast Conference,G,5-7
4220,Fairleigh Dickinson University,Northeast Conference,C,6-1
4221,Fairleigh Dickinson University,Northeast Conference,F,6-1
4222,Fairleigh Dickinson University,Northeast Conference,F,5-8
4223,Fairleigh Dickinson University,Northeast Conference,F,6-1
4224,Fairleigh Dickinson University,Northeast Conference,G,5-7
4225,Fairleigh Dickinson University,Northeast Conference,F,6-1
4226,Fairfield University,Metro Atlantic Athletic Conference,G,5-7
4227,Fairfield University,Metro Atlantic Athletic Conference,F,6-0
4228,Fairfield University,Metro Atlantic Athletic Conference,F,6-2
4229,Fairfield University,Metro Atlantic Athletic Conference,G,5-5
4230,Fairfield University,Metro Atlantic Athletic Conference,G,5-6
4231,Fairfield University,Metro Atlantic Athletic Conference,G,5-7
4232,Fairfield University,Metro Atlantic Athletic Conference,G,5-11
4233,Fairfield University,Metro Atlantic Athletic Conference,G,5-11
4234,Fairfield University,Metro Atlantic Athletic Conference,G,5-7
4235,Fairfield University,Metro Atlantic Athletic Conference,F,6-1
4236,Fairfield University,Metro Atlantic Athletic Conference,F,6-2
4237,Fairfield University,Metro Atlantic Athletic Conference,G,6-0
4238,Fairfield University,Metro Atlantic Athletic Conference,F,6-2
4239,Fairfield University,Metro Atlantic Athletic Conference,G,5-9
4240,"University of Wisconsin, Green Bay",Horizon League,G,5-11
4241,"University of Wisconsin, Green Bay",Horizon League,G,5-9
4242,"University of Wisconsin, Green Bay",Horizon League,G,5-9
4243,"University of Wisconsin, Green Bay",Horizon League,F,6-0
